City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Poum,NC,-20.2333,164.0167,75.87,73,3,20.74,clear sky
286,Thibodaux,US,29.7958,-90.8229,75.97,94,18,5.35,few clouds
287,Belmonte,BR,-15.8631,-38.8828,74.52,82,69,9.1,broken clouds
288,Padra,IN,22.2333,73.0833,80.69,74,100,3.44,haze
289,Dunajska Streda,SK,47.9927,17.6121,58.01,95,59,3.27,broken clouds
290,Fortuna,US,40.5982,-124.1573,53.35,87,27,2.06,scattered clouds
291,Filadelfia,US,39.9523,-75.1638,61.97,81,75,3.44,broken clouds
292,Muroto,JP,33.2833,134.15,72.34,69,37,21.7,scattered clouds
293,Saint-Philippe,RE,-21.3585,55.7679,71.19,76,29,10.56,scattered clouds
294,Madang,PG,-5.2246,145.7966,85.68,59,100,6.76,overcast clouds
295,Muisne,EC,0.6,-80.0333,73.29,82,100,9.78,overcast clouds
296,San Rafael,AR,-34.6177,-68.3301,59.52,25,99,28.36,overcast clouds
297,Gizo,SB,-8.103,156.8419,84.54,66,100,3.96,overcast clouds
298,Puro,PH,12.4841,123.3827,85.12,72,100,3.6,overcast clouds
299,Jiaxing,CN,30.7522,120.75,69.42,58,42,8.68,scattered clouds
300,Price,US,39.5994,-110.8107,65.46,20,0,16.11,clear sky
301,Sukhobuzimskoye,RU,56.5,93.2728,37.15,88,100,10.4,light rain
302,Mendeleyevo,RU,56.0333,37.2167,38.88,93,75,6.71,broken clouds
303,Huilong,CN,31.8111,121.655,68.52,63,52,11.74,broken clouds
304,Vrangel,RU,42.7297,133.0839,58.15,69,98,4.34,overcast clouds
305,Namibe,AO,-15.1961,12.1522,68.41,87,100,4.41,overcast clouds
306,Plettenberg Bay,ZA,-34.0527,23.3716,62.37,92,93,3.74,overcast clouds
307,Meulaboh,ID,4.1363,96.1285,82.83,71,93,2.15,overcast clouds
308,Andenes,NO,69.3143,16.1194,44.92,87,100,17.27,light rain
309,Umm Lajj,SA,25.0213,37.2685,81.1,51,0,8.63,clear sky
310,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,11.5,few clouds
311,Jumla,NP,29.2747,82.1838,57.69,61,0,0.89,clear sky
312,Bauchi,NG,10.5,10.0,71.74,88,48,1.28,scattered clouds
313,Kirovskiy,RU,45.0917,133.5136,56.86,60,100,7.16,overcast clouds
314,Paamiut,GL,61.994,-49.6678,23.18,50,2,7.52,clear sky
315,Falun,SE,60.6036,15.626,48.61,95,100,9.62,overcast clouds
316,Antas,PT,41.7364,-8.3089,58.68,74,98,3.0,overcast clouds
317,Requena,ES,39.4883,-1.1004,53.53,89,0,2.15,clear sky
318,Tilichiki,RU,60.4667,166.1,33.26,52,100,11.07,overcast clouds
319,Rawson,AR,-43.3002,-65.1023,47.93,38,27,12.93,scattered clouds
320,Lekoni,GA,-1.5843,14.2591,73.89,84,100,1.81,moderate rain
321,Qandala,SO,11.472,49.8728,79.25,55,6,3.2,clear sky
322,Ati,TD,13.2154,18.3353,84.15,43,0,7.02,clear sky
323,Baracoa,CU,20.3467,-74.4958,80.33,85,77,9.78,broken clouds
324,Dunedin,NZ,-45.8742,170.5036,48.79,77,16,8.01,few clouds
325,Nabire,ID,-3.3667,135.4833,81.93,81,98,5.95,overcast clouds
326,Bodden Town,KY,19.2833,-81.25,82.4,89,20,4.61,few clouds
327,Xichang,CN,27.8964,102.2634,57.38,94,100,2.3,overcast clouds
328,Inongo,CD,-1.95,18.2667,70.95,96,100,4.45,overcast clouds
329,Abbeville,FR,50.1,1.8333,58.96,91,100,6.02,overcast clouds
330,Benghazi,LY,32.1167,20.0667,75.09,51,0,5.88,clear sky
331,Dongli,CN,23.5656,116.8194,82.38,47,0,8.95,clear sky
332,Cabatuan,PH,10.8794,122.486,85.15,74,100,11.03,overcast clouds
333,San Vicente,AR,-26.6167,-54.1333,52.3,99,35,1.77,scattered clouds
334,Lensk,RU,60.7253,114.9278,38.17,85,100,9.51,overcast clouds
335,Abu Kamal,SY,34.4506,40.9171,74.07,32,35,6.78,scattered clouds
336,Saldanha,ZA,-33.0117,17.9442,57.25,93,81,12.93,broken clouds
337,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,79,75,16.11,broken clouds
338,Yauya,PE,-8.9833,-77.3,48.18,77,100,0.29,overcast clouds
339,Dhidhdhoo,MV,6.8833,73.1,79.95,82,98,15.43,overcast clouds
340,Atasu,KZ,48.6814,71.6433,49.73,26,92,6.44,overcast clouds
341,Yuksekova,TR,37.5736,44.2872,38.95,70,75,0.0,broken clouds
342,Choctaw,US,35.4976,-97.2689,63.66,23,0,2.44,clear sky
343,Bairiki,KI,1.3292,172.9752,86.0,70,20,11.5,few clouds
344,Tomatlan,MX,19.9333,-105.25,73.13,87,100,3.69,overcast clouds
